IPR	description	ERR977403	ERR977404	ERR977405	ERR977406	ERR977407	ERR977408	ERR977409	ERR977410	ERR977411	ERR977412	ERR977413	ERR977414	ERR977415	ERR977416	ERR977417	ERR977418	ERR977419	ERR977420	ERR977421	ERR977422	ERR977423	ERR977424	ERR977425
IPR002540	Peptidase S30, polyprotein P1, potyvirus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
IPR002541	Cytochrome c assembly protein	3305	2755	5286	2745	359	449	1941	557	1107	1089	1055	1419	1508	1390	5569	5438	5287	7437	7307	7246	1331	2042	3345
IPR002543	FtsK domain	1598	1485	2689	1500	478	520	2569	868	1327	1318	1249	2104	2053	2088	3496	3401	3326	4977	4826	4922	2141	4399	7001
IPR002544	FMRFamide-related peptide-like	0	0	0	0	0	0	1	1	1	2	1	1	2	4	4	3	2	3	5	3	1	1	5
IPR002545	CheW-like domain	2697	2447	4644	2548	217	161	825	311	590	583	522	583	533	548	4459	4316	4204	9156	8971	8804	389	445	1201
IPR002547	tRNA-binding domain	1087	1143	2168	1114	192	215	1036	441	709	766	719	645	714	667	2114	2011	1945	3867	3764	3659	889	1233	2808
IPR002549	Transmembrane protein TqsA-like	2459	2114	3714	1948	583	691	3232	1250	821	772	734	1993	1890	1755	1982	1885	1764	4647	4559	4288	377	705	1190
IPR002550	Domain of unknown function DUF21	1219	997	1886	1103	367	445	2076	633	757	731	696	1160	1121	1143	1632	1629	1510	3297	2950	2864	297	615	822
IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal	0	0	0	0	2	0	2	7	4	2	0	0	0	1	7	7	9	24	22	23	1	0	1
IPR002554	Protein phosphatase 2A, regulatory B subunit, B56	0	0	0	0	1	0	1	3	1	5	3	3	0	2	5	2	8	10	22	11	6	13	50
IPR002557	Chitin binding domain	0	0	0	0	1	1	2	19	5	1	7	2	3	2	17	13	9	23	13	15	9	34	44
IPR002558	I/LWEQ domain	0	0	0	0	0	0	2	4	1	2	3	1	1	1	1	2	1	4	3	4	1	6	7
IPR002559	Transposase, IS4-like	2601	3229	6109	4662	615	571	2821	1063	974	905	819	1619	1618	1508	5082	4998	4958	7069	7111	6735	444	691	2112
IPR002560	Transposase IS204/IS1001/IS1096/IS1165, DDE domain	5374	7168	13714	9786	428	443	2108	678	625	619	659	1528	1517	1478	4100	3966	4026	5372	5276	5026	960	1815	3191
IPR002562	3'-5' exonuclease domain	1456	1366	2437	1353	284	368	1640	628	1054	1102	1040	1430	1366	1330	2736	2687	2575	4563	4393	4383	617	854	1618
IPR002563	Flavin reductase like domain	38	62	81	0	260	308	1396	338	513	459	461	974	937	851	801	831	792	3266	3094	3132	456	883	1261
IPR002566	Surface antigen msp4	10	10	8	0	4	6	13	22	22	15	14	15	11	6	48	32	39	23	31	25	2	0	6
IPR002568	Carlavirus nucleic acid-binding protein	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002569	Peptide methionine sulphoxide reductase MsrA	2560	2382	4418	2308	299	356	1568	675	1571	1617	1512	2089	2007	1975	6126	6406	6178	8678	8654	8681	2698	4192	8899
IPR002572	Domain of unknown function DUF22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
IPR002574	Coronavirus M matrix/glycoprotein	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
IPR002575	Aminoglycoside phosphotransferase	1751	1833	3318	1932	705	835	4065	956	1268	1203	1103	1910	2004	1932	2926	2878	2900	6277	6164	5872	1356	2271	3394
IPR002577	Helix-turn-helix, HxlR type	155	237	414	268	150	193	868	207	506	486	465	784	697	719	1431	1445	1465	3649	3724	3646	590	843	1803
IPR002579	Peptide methionine sulphoxide reductase MrsB	1043	1138	2097	1305	234	250	1216	513	1133	1053	1022	1410	1327	1297	3240	3176	3161	4690	4927	5043	1836	2987	6182
IPR002580	Herpesvirus UL24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IPR002582	Holo-[acyl carrier protein] synthase	50	83	147	108	21	12	77	28	3	5	9	18	9	9	29	22	27	41	51	52	0	0	0
IPR002583	Ribosomal protein S20	866	833	1392	878	143	145	749	307	505	498	510	741	720	702	1454	1451	1388	2327	2232	2329	844	1610	2736
IPR002585	Cytochrome ubiquinol oxidase subunit 1	4227	3511	6508	3664	235	268	1126	287	957	955	901	1512	1420	1387	1545	1605	1637	5995	6069	6243	1293	1926	4216
IPR002586	CobQ/CobB/MinD/ParA nucleotide binding domain	1850	1760	3330	1905	348	439	2192	584	793	757	810	1495	1470	1467	2890	2795	2723	4575	4450	4345	1076	2025	3099
IPR002587	Myo-inositol-1-phosphate synthase	0	0	0	0	100	161	711	168	212	183	209	219	195	213	483	502	537	324	347	349	246	329	582
IPR002589	Macro domain	1768	1543	2717	1498	74	87	394	143	425	409	404	460	417	428	802	736	749	996	931	968	297	478	819
IPR002591	Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase	834	828	1403	787	341	446	2018	556	901	890	793	1497	1489	1469	2219	2093	2054	2727	2653	2656	896	1650	1721
IPR002594	Glycoside hydrolase family 12	0	0	0	0	0	0	1	0	1	0	4	3	0	1	1	2	1	20	12	6	0	0	0
IPR002605	Adenovirus penton base protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IPR002611	IstB-like ATP-binding protein	4	10	9	0	598	648	3267	923	1765	1755	1700	2865	3028	2809	7780	7849	7805	9966	9961	9700	2638	4551	6801
IPR002612	Adenovirus large t-antigen, E1B 55kDa protein	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
IPR002615	Photosystem I PsaJ, reaction centre subunit IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	4	8
IPR002616	tRNA-guanine(15) transglycosylase-like	2983	2489	4696	2340	503	549	2627	1186	2616	2462	2548	3272	3277	3307	7174	7389	7261	10732	10718	10596	4681	8940	15840
IPR002618	UDPGP family	0	0	0	0	82	83	430	151	138	135	136	905	874	849	107	114	92	125	142	137	520	1429	1127
IPR002622	Transposase, Synechocystis PCC 6803	0	0	0	0	11	9	40	27	17	20	14	59	59	55	149	165	147	65	64	59	31	81	78
IPR002625	Smr domain	435	347	719	439	70	78	396	123	351	349	363	438	395	357	950	917	898	1661	1576	1501	315	509	788
IPR002628	Photosystem II PsbO, manganese-stabilising	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
IPR002629	Cobalamin-independent methionine synthase MetE, C-terminal/archaeal	2786	2473	4526	2298	54	76	417	97	165	158	158	303	300	275	687	670	660	3056	3047	2967	371	892	2118
IPR002631	Plasmid replication protein	0	0	0	0	1	1	4	0	0	0	0	12	17	17	0	0	0	0	0	0	2	4	8
IPR002633	Bacteriocin, class IIa	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002634	BolA protein	755	772	1450	829	74	56	313	111	294	316	309	313	300	341	1159	1148	1184	2317	2360	2281	319	397	1151
IPR002635	Chorion protein	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002636	Protein from unkown function DUF29	0	0	0	0	9	12	58	115	69	64	65	246	213	234	275	306	254	608	624	592	54	146	285
IPR002637	Ham1-like protein	1280	1203	2040	1079	225	254	1223	457	697	753	663	949	940	914	2100	2040	2026	3272	3305	3261	901	1572	2561
IPR002638	Quinolinate phosphoribosyl transferase, C-terminal	1253	1147	2114	1069	169	179	872	274	657	613	633	778	732	767	2326	2394	2231	3700	3617	3566	833	1316	2233
IPR002639	Urease accessory protein UreF	954	963	1732	891	36	28	159	40	114	114	112	186	146	190	311	327	286	1216	1169	1222	71	114	303
IPR002640	Arylesterase	0	0	0	0	3	2	6	2	38	36	33	25	21	15	23	24	22	38	51	34	20	22	16
IPR002641	Patatin/Phospholipase A2-related	1111	1245	2207	1406	439	513	2278	628	1004	981	1042	1369	1354	1300	1597	1632	1557	3551	3466	3403	728	1329	1923
IPR002642	Lysophospholipase, catalytic domain	0	0	0	0	0	0	1	2	1	0	1	2	3	2	7	12	12	7	4	10	0	2	9
IPR002643	Polyomavirus agnoprotein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0
IPR002644	Photosystem II PsbZ, reaction centre	0	0	0	0	1	1	6	1	2	1	1	6	5	7	2	4	3	18	23	17	4	11	12
IPR002645	STAS domain	3404	2898	5351	2946	652	796	3587	1053	1720	1642	1535	3061	3001	2837	4172	4157	3985	5459	5431	5140	2173	4700	4877
IPR002646	Poly A polymerase, head domain	1637	1560	2925	1552	237	252	1270	541	723	727	663	967	913	914	2206	2162	2124	3731	3568	3635	847	1471	3070
IPR002648	Adenylate dimethylallyltransferase	185	151	249	123	31	30	137	71	132	124	112	125	150	165	395	348	335	444	469	437	45	71	203
IPR002649	tRNA (guanine-N1-)-methyltransferase, bacteria	1	2	4	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002652	Importin-alpha, importin-beta-binding domain	0	0	2	0	1	0	0	1	2	0	0	2	0	0	3	0	1	6	6	10	2	6	14
IPR002653	Zinc finger, A20-type	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1
IPR002654	Glycosyl transferase, family 25	292	258	491	203	14	6	68	158	38	37	27	52	35	42	144	154	145	177	209	181	17	53	145
IPR002655	Acyl-CoA oxidase, C-terminal	0	0	0	0	6	5	17	9	8	10	4	32	28	21	15	18	16	77	91	61	4	10	20
IPR002656	Acyltransferase 3	721	551	991	540	193	194	992	317	93	81	84	108	114	108	350	312	284	622	561	539	0	1	11
IPR002657	Bile acid:sodium symporter/arsenical resistance protein  Acr3	1180	858	1602	810	241	246	1146	353	646	645	616	835	840	770	2071	2069	1959	2821	2908	2712	1038	1590	2677
IPR002659	Glycosyl transferase, family 31	0	0	0	0	0	1	2	3	2	3	2	1	0	0	1	1	2	1	3	2	1	8	6
IPR002661	Ribosome recycling factor	42	28	105	66	7	6	43	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002666	Reduced folate carrier	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	2	0	1	0	0	1
IPR002668	Concentrative nucleoside transporter N-terminal domain	0	0	1	0	31	41	157	56	174	177	170	113	135	120	355	351	359	366	410	420	188	217	532
IPR002669	Urease accessory protein UreD	1014	916	1524	884	38	35	163	40	116	109	118	240	246	222	468	435	473	1192	1108	1097	100	167	348
IPR002671	Ribosomal protein L22e	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	5	2	2	5	2	0	8	28
IPR002673	Ribosomal protein L29e	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	3	3	7
IPR002674	Ribosomal protein L37ae	0	0	0	0	1	0	1	3	5	3	4	1	4	0	26	23	25	20	14	13	5	13	47
IPR002675	Ribosomal protein L38e	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	2	5	5	1	7	5
IPR002676	RimM protein	678	617	1210	601	106	138	611	152	365	325	340	527	489	475	991	1063	905	1989	1917	1930	390	716	1211
IPR002677	Ribosomal protein L32p	252	316	534	313	87	86	401	180	264	261	276	392	366	410	910	907	872	1414	1394	1433	444	816	1254
IPR002678	GTP cyclohydrolase 1 type 2/Nif3	11	16	24	0	111	96	421	194	399	395	382	402	394	396	641	695	683	2283	2090	2147	462	725	1174
IPR002679	Closterovirus coat protein	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR002680	Alternative oxidase	0	0	0	0	9	9	30	9	24	26	33	12	19	18	82	69	79	372	398	426	50	50	183
IPR002681	Coat protein, Ilarvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IPR002682	Photosystem II PsbJ	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	3	1	5	3	6
IPR002683	PsbP family	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	1	1	1	1	0	0	1
IPR002684	Biotin synthase/Biotin biosynthesis bifunctional protein BioAB	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002685	Glycosyl transferase, family 15	0	0	0	0	0	0	0	3	0	1	0	0	1	2	1	3	5	10	9	8	5	5	19
IPR002686	Transposase IS200-like	1317	1220	1954	1027	359	292	1417	730	1413	1297	1316	1769	1827	1612	4936	4975	4860	6449	6406	5988	1072	1896	3446
IPR002687	Nop domain	0	0	0	0	1	0	3	6	3	8	7	1	2	3	120	133	120	80	52	71	13	30	107
IPR002692	Penicillin/cephalosporin acylase	62	75	146	0	657	857	3830	1188	2880	2679	2650	4241	4132	4179	3685	3681	3664	10884	10571	10790	3211	6687	7036
IPR002694	Zinc finger, CHC2-type	690	591	1108	683	275	262	1302	970	907	920	895	1239	1219	1238	2106	2146	2078	3060	3110	3058	1324	2535	4394
IPR002695	AICARFT/IMPCHase bienzyme	2362	2118	3933	2033	390	453	2287	669	1367	1504	1368	1988	1926	1859	4514	4608	4702	7506	7309	7315	1927	3198	5140
IPR002696	Putative membrane protein insertion efficiency factor	442	391	711	399	102	133	523	207	389	332	385	507	516	451	972	929	947	1660	1653	1604	552	932	1526
IPR002698	5-formyltetrahydrofolate cyclo-ligase	148	269	436	306	52	69	354	123	256	203	206	310	296	296	636	661	590	1405	1425	1461	183	341	775
IPR002699	ATPase, V1 complex, subunit D	0	0	0	0	10	9	43	27	146	146	128	44	38	43	113	109	99	117	90	100	23	37	92
IPR002701	Chorismate mutase	583	531	1093	570	83	81	364	128	394	379	365	444	398	416	1382	1442	1364	2422	2391	2421	371	477	1120
IPR002702	Translation repressor RegA	0	0	0	0	1	0	8	8	8	8	3	5	6	10	0	0	0	1	4	0	1	6	64
IPR002703	Levivirus coat protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR002704	Peptidase C7 domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR002706	DNA-repair protein Xrcc1, N-terminal	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1
IPR002708	Homocysteine biosynthesis enzyme, sulfur-incorporation	0	0	0	0	0	0	3	1	11	14	10	10	15	15	18	11	6	98	71	75	15	9	37
IPR002710	Dilute domain	0	0	0	0	0	0	0	1	0	0	1	0	2	0	2	0	3	2	0	1	1	1	7
IPR002711	HNH endonuclease	93	133	249	181	320	372	1545	1243	563	539	472	993	1037	934	1124	1138	1128	1693	1647	1689	914	2089	3244
IPR002712	Toxin CcdB	0	0	0	0	17	13	65	14	51	45	51	59	51	55	183	186	187	520	538	459	16	8	67
IPR002713	FF domain	0	0	0	0	1	0	0	1	2	3	3	3	1	4	1	4	4	7	11	11	4	5	27
IPR002715	Nascent polypeptide-associated complex NAC domain	0	0	0	0	0	0	3	1	2	4	3	1	0	0	44	42	39	13	24	26	4	16	57
IPR002716	PIN domain	3047	3105	5943	4123	736	892	3984	1102	789	748	733	1485	1492	1417	2979	2854	2743	4250	4290	4169	507	809	1458
IPR002717	Histone acetyltransferase domain, MYST-type	0	0	0	0	0	0	1	6	0	2	0	0	1	2	2	4	3	8	11	7	4	15	55
IPR002719	Retinoblastoma-associated protein, B-box	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	2
IPR002720	Retinoblastoma-associated protein, A-box	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1
IPR002723	N(4)-bis(aminopropyl)spermidine synthase, C-terminal	6	25	27	0	1	0	17	10	4	4	1	8	10	11	7	4	3	16	14	22	8	20	33
IPR002724	Pyruvoyl-dependent arginine decarboxylase	996	799	1336	693	13	15	81	29	29	32	38	148	126	127	1121	1135	1042	550	540	561	205	283	313
IPR002725	Protein of unknown function DUF45	630	505	908	429	152	181	784	318	547	513	517	706	708	637	2043	2089	2057	3262	3228	3204	668	1114	2150
IPR002729	CRISPR-associated protein Cas1	5285	4285	7817	3846	121	160	649	162	442	411	419	753	726	733	1411	1321	1405	1410	1435	1534	463	803	922
IPR002730	Ribonuclease P/MRP, subunit p29	0	0	0	0	0	1	2	3	1	2	2	2	4	3	47	42	47	26	21	23	1	5	29
IPR002731	ATPase, BadF/BadG/BcrA/BcrD type	0	0	1	0	114	128	591	134	377	366	345	205	235	202	770	741	759	897	880	874	276	266	407
IPR002732	Holliday junction resolvase Hjc	0	0	0	0	2	0	4	15	0	0	2	2	1	3	13	9	5	22	19	26	3	4	27
IPR002733	AMMECR1 domain	206	341	566	376	59	60	293	89	204	187	184	260	240	229	468	455	441	726	812	787	219	437	441
IPR002734	Bacterial bifunctional deaminase-reductase, C-terminal	2121	1868	3378	1681	362	456	2196	671	1036	960	935	1690	1524	1549	2619	2558	2499	4175	4042	3852	1119	2006	2808
IPR002735	Translation initiation factor IF2/IF5	0	0	0	0	1	0	1	6	11	3	5	1	6	2	58	56	43	36	46	37	3	15	68
IPR002736	Triphosphoribosyl-dephospho-CoA protein	408	525	958	629	8	14	71	25	99	90	65	229	247	216	136	145	139	1191	1106	1174	49	68	251
IPR002737	MEMO1 family	990	1081	1950	1081	104	110	582	188	383	410	375	611	575	581	1316	1306	1251	1570	1662	1572	332	656	737
IPR002738	RNase P subunit p30	0	0	0	0	0	0	0	2	1	0	0	3	5	1	1	0	1	5	9	12	0	3	6
IPR002739	Uncharacterised protein family UPF0201	0	0	0	0	0	0	2	0	1	2	0	3	1	0	53	50	58	21	21	9	2	0	1
IPR002740	EVE domain	1369	1242	2017	1217	133	115	551	220	589	605	614	680	698	588	2581	2622	2561	3151	3093	3159	725	891	1863
IPR002742	Desulfoferrodoxin, ferrous iron-binding domain	0	0	0	0	1	1	4	8	4	6	4	9	6	1	6	3	6	29	39	35	6	13	28
IPR002744	Domain of unknown function DUF59	247	414	755	484	233	247	1236	397	639	646	651	1107	1028	1055	1309	1286	1313	2522	2494	2366	1078	2050	2394
IPR002745	Phosphotransferase KptA/Tpt1	0	0	0	0	20	16	120	69	101	106	101	174	160	188	60	65	49	284	302	280	76	207	212
IPR002746	Uncharacterised protein family UPF0216	0	0	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0	0	1	0	0	1	2
IPR002747	SAM-dependent chlorinase/fluorinase	1548	1302	2486	1430	118	175	705	164	435	454	430	451	432	409	1496	1396	1376	1080	1106	1087	324	561	654
IPR002748	Cobalt-precorrin-5B C(1)-methyltransferase CbiD	15	16	37	0	7	8	48	16	33	34	23	82	76	66	532	550	557	841	887	797	30	42	194
IPR002749	Protein of unknown function DUF63	0	0	0	0	0	0	0	2	4	1	5	3	7	3	1	0	0	11	18	9	1	5	17
IPR002750	CobE/GbiG C-terminal domain	99	63	112	38	6	4	46	9	34	22	18	71	79	69	351	294	291	605	592	582	41	52	200
IPR002751	Cobalamin (vitamin B12) biosynthesis CbiM family	137	205	432	310	73	126	592	142	265	236	219	452	423	422	173	149	135	250	249	236	406	987	881
IPR002753	Uncharacterised protein family UPF0058	0	0	0	0	0	0	1	0	4	2	1	1	1	2	0	0	0	1	0	1	2	0	3
IPR002755	DNA primase, small subunit	0	0	0	0	1	0	7	1	2	0	1	0	3	1	12	8	10	32	34	46	2	5	21
IPR002758	Na+/H+ antiporter subunit E	191	290	512	343	53	65	322	71	149	120	109	306	279	258	49	58	56	608	550	575	191	275	490
IPR002759	Ribonuclease P/MRP protein subunit	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	6	7	8	0	2	1
IPR002760	Putative O-antigen polymerase	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	4	1	5	4	6
IPR002761	Diphthamide synthase domain	645	448	1003	514	4	4	27	12	14	20	9	32	22	20	158	139	149	392	366	390	13	17	124
IPR002762	Cobalamin (vitamin B12) biosynthesis CbiX	972	866	1671	874	32	53	212	63	98	91	90	171	176	188	858	899	822	944	904	884	84	143	227
IPR002763	Protein of unknown function DUF72	2414	2503	4279	2401	197	158	790	251	667	634	663	1371	1286	1280	1647	1705	1611	5432	5257	5234	1034	1861	2336
IPR002765	Uncharacterised protein family UPF0145	0	0	0	0	54	64	308	83	219	235	233	258	249	237	730	652	679	1098	1064	1098	388	532	1025
IPR002767	Thiamine-binding protein	530	411	728	343	14	16	69	27	46	36	35	83	67	100	609	571	560	287	313	344	107	114	155
IPR002769	Translation initiation factor IF6	0	0	0	0	0	0	3	1	7	4	3	2	6	4	134	132	108	60	52	41	7	13	44
IPR002770	Formylmethanofuran: tetrahydromethanopterin formyltransferase Ftr, C-terminal	243	355	637	484	8	10	42	24	59	49	59	192	188	171	108	128	118	164	186	153	97	113	188
IPR002771	Multiple antibiotic resistance (MarC)-related	307	449	738	504	146	138	580	202	510	484	512	598	569	565	1666	1549	1507	3795	3571	3494	307	350	1034
IPR002772	Glycoside hydrolase family 3 C-terminal domain	0	0	0	0	418	471	2462	675	1057	1053	1064	2175	2020	2053	1463	1486	1367	6775	6675	6502	2303	4778	5396
IPR002773	Deoxyhypusine synthase	1537	1184	2423	1152	158	160	710	367	531	532	512	908	812	792	3893	3884	3862	2742	2849	2691	840	1469	2033
IPR002774	Flagellin, archaea	0	0	0	0	0	1	3	0	1	3	2	1	3	4	38	27	26	28	29	28	2	2	11
IPR002775	DNA/RNA-binding protein Alba-like	0	0	0	0	2	1	4	2	2	1	2	1	0	4	152	128	116	55	55	41	3	2	34
IPR002777	Prefoldin beta-like	0	0	0	0	0	0	1	3	1	4	0	2	1	1	28	37	28	14	15	14	0	1	1
IPR002778	Signal recognition particle, SRP19 subunit	0	0	0	0	0	0	0	0	2	1	0	2	0	2	32	27	46	14	8	9	2	3	19
IPR002780	Hydrogenase formation HypD protein	2001	1613	2609	1194	243	236	1366	351	556	579	500	1336	1331	1361	1322	1230	1208	2331	2314	2293	1698	3519	3456
IPR002781	Transmembrane protein TauE-like	1206	1725	3278	2422	575	611	2868	809	585	584	526	802	753	743	1722	1628	1570	4046	3800	3680	86	120	207
IPR002782	Mut7-C RNAse domain	338	459	838	618	17	21	101	32	46	42	35	96	131	112	286	293	282	565	541	528	58	162	159
IPR002784	Ribosomal protein L14e domain	0	0	0	0	0	0	1	2	0	0	0	1	1	1	1	1	2	0	3	1	2	8	18
IPR002786	Non-canonical purine NTP phosphatase	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002789	Helicase HerA, central domain	29	16	38	29	115	158	575	321	269	244	259	554	531	472	846	827	823	1010	1044	998	301	630	886
IPR002791	Domain of unknown function DUF89	0	0	0	0	4	3	12	5	13	11	10	19	29	23	8	11	15	23	17	17	8	20	22
IPR002792	TRAM domain	673	650	1183	615	150	155	654	235	348	368	342	455	403	437	894	868	815	1504	1603	1521	284	457	880
IPR002793	Endonuclease NucS	14	15	47	0	92	135	584	152	52	47	39	239	199	224	88	92	106	178	204	233	347	801	1088
IPR002794	Protein of unknown function DUF92, TMEM19	0	0	0	0	45	48	265	64	265	230	219	373	388	366	201	179	166	188	156	148	218	585	510
IPR002797	Polysaccharide biosynthesis protein	390	281	576	333	177	171	839	287	137	144	149	355	301	296	532	531	535	635	651	542	40	51	87
IPR002798	Stage II sporulation protein M-like	1	1	4	0	59	78	389	109	134	154	144	147	142	128	186	172	188	590	562	517	47	85	182
IPR002800	Protein of unknown function DUF98	0	0	0	0	1	0	0	1	0	0	1	2	2	0	5	7	7	3	1	3	0	1	3
IPR002801	Aspartate transcarbamylase regulatory subunit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR002802	Protein of unknown function DUF99	135	161	346	237	2	0	6	2	16	12	15	9	11	6	33	13	16	16	18	21	11	13	7
IPR002803	Fructose-1,6-bisphosphatase, class V	0	0	0	0	13	13	50	10	18	32	11	126	122	120	586	592	551	201	193	206	141	171	193
IPR002808	Adenosylcobinamide amidohydrolase, CbiZ	1227	1066	1956	975	12	27	138	11	38	22	21	59	55	49	767	814	727	334	309	326	56	66	105
IPR002809	Protein of unknown function DUF106, transmembrane	0	0	0	0	0	0	3	3	4	2	0	1	2	3	7	12	12	20	6	13	1	2	6
IPR002810	NfeD-like, C-terminal domain	1044	834	1669	1002	89	129	534	140	171	184	159	247	236	241	401	369	363	742	729	674	51	68	164
IPR002811	Aspartate dehydrogenase	0	0	0	0	4	7	39	12	31	27	36	33	41	27	184	167	167	218	233	178	43	92	233
IPR002812	3-dehydroquinate synthase	0	0	0	0	0	0	3	0	7	6	8	12	11	7	174	172	159	57	89	68	3	22	22
IPR002813	Arginine biosynthesis protein ArgJ	2847	2558	4682	2596	345	444	2104	491	1092	1065	1037	2203	2122	2060	4338	4231	4149	7121	7103	7124	1948	3596	4786
IPR002815	Spo11/DNA topoisomerase VI subunit A	699	507	882	424	12	17	37	9	13	14	6	34	30	26	332	312	319	140	145	109	2	5	5
IPR002816	Pheromone shutdown, TraB	303	364	677	496	95	86	429	125	358	316	323	257	297	256	472	468	425	1266	1289	1216	104	94	242
IPR002817	Phosphomethylpyrimidine synthase	3195	2821	4994	2747	161	171	880	268	1127	1127	1145	1067	1099	1013	6309	6455	6443	9428	9404	9258	1677	2341	4791
IPR002818	DJ-1/PfpI	877	1057	1788	1183	143	175	827	233	351	337	341	530	494	500	653	636	614	3434	3274	3222	135	226	514
IPR002820	Molybdopterin cofactor biosynthesis C (MoaC) domain	1292	1157	2122	1133	208	242	1116	265	852	812	877	1226	1224	1233	2634	2691	2664	4266	4438	4189	1539	2983	4031
IPR002821	Hydantoinase/oxoprolinase	643	956	1672	938	323	409	1914	441	1369	1369	1227	2213	2083	1989	1857	1828	1818	3809	4001	3903	1679	2754	3565
IPR002822	Uncharacterised protein family UPF0272	2393	1884	3206	1462	156	166	897	234	262	331	342	674	675	652	3024	2948	2912	1456	1506	1522	679	1253	1166
IPR002823	Protein of unknown function DUF112, transmembrane	1625	2177	4372	2960	265	296	1345	333	1172	1203	1191	2139	2144	1995	2289	2253	2307	8669	8349	8433	925	1157	2247
IPR002825	Peptidase S49, serine-peptidase prokaryotes	592	448	782	384	20	5	66	13	171	166	152	110	107	90	167	191	176	147	144	149	63	59	99
IPR002826	6-hydroxymethylpterin diphosphokinase MptE-like	0	0	0	0	10	1	28	101	17	15	14	11	13	16	508	512	488	147	150	119	3	12	16
IPR002828	Survival protein SurE-like phosphatase/nucleotidase	1957	1787	3078	1629	315	351	1646	512	1503	1413	1427	1846	1867	1807	4033	3912	3959	6168	6093	6068	1866	3711	4722
IPR002829	Protein of unknown function DUF116	51	84	128	116	4	7	24	10	19	13	14	20	21	18	43	41	53	20	30	40	14	22	29
IPR002830	UbiD decarboxylyase family	612	846	1537	1202	345	340	1575	453	1176	1240	1238	1492	1556	1509	3628	3601	3718	7340	7196	7262	1924	2921	5315
IPR002831	Transcription regulator TrmB, N-terminal	0	0	0	0	13	14	47	133	47	48	29	55	47	42	379	403	371	255	237	250	21	75	317
IPR002833	Peptidyl-tRNA hydrolase, PTH2	0	0	0	0	1	3	18	28	13	13	10	8	7	9	113	100	109	87	82	94	15	22	235
IPR002835	2-phospho-L-lactate guanylyltransferase, CofC	3	7	7	0	37	53	235	42	81	79	72	86	81	85	75	74	71	58	37	33	26	35	52
IPR002836	PDCD5-related protein	0	0	0	0	0	0	0	2	3	3	0	2	2	6	62	59	75	25	35	32	3	5	31
IPR002837	Protein of unknown function DUF123	79	138	233	214	11	13	71	33	13	13	8	73	69	54	3	1	2	13	9	15	25	76	47
